Year,Trade_Flow,Reporter,Reporter_ISO,Partner,Partner_ISO,Trade_Value
2019,Import,Argentina,ARG,World,WLD,49125029975
2019,Export,Argentina,ARG,World,WLD,65114127659
2019,Import,Argentina,ARG,Afghanistan,AFG,26656
2019,Import,Argentina,ARG,Albania,ALB,722606
2019,Export,Argentina,ARG,Albania,ALB,6916690
2019,Import,Argentina,ARG,Algeria,DZA,63508212
2019,Export,Argentina,ARG,Algeria,DZA,1523638991
2019,Import,Argentina,ARG,Andorra,AND,2820
2019,Import,Argentina,ARG,Angola,AGO,1789
2019,Export,Argentina,ARG,Angola,AGO,37517091
2019,Import,Argentina,ARG,Antigua and Barbuda,ATG,779
2019,Export,Argentina,ARG,Antigua and Barbuda,ATG,244232
2019,Import,Argentina,ARG,Azerbaijan,AZE,38486
2019,Export,Argentina,ARG,Azerbaijan,AZE,5053881
2019,Import,Argentina,ARG,Australia,AUS,247039223
2019,Export,Argentina,ARG,Australia,AUS,521110618
2019,Import,Argentina,ARG,Austria,AUT,201024705
2019,Export,Argentina,ARG,Austria,AUT,10730575
2019,Import,Argentina,ARG,Bahamas,BHS,2782429
2019,Export,Argentina,ARG,Bahamas,BHS,139235947
2019,Import,Argentina,ARG,Bahrain,BHR,3085271
2019,Export,Argentina,ARG,Bahrain,BHR,8282043
2019,Import,Argentina,ARG,Bangladesh,BGD,28926345
2019,Export,Argentina,ARG,Bangladesh,BGD,607120983
2019,Import,Argentina,ARG,Armenia,ARM,2784
2019,Export,Argentina,ARG,Armenia,ARM,1577078
2019,Import,Argentina,ARG,Barbados,BRB,15938
2019,Export,Argentina,ARG,Barbados,BRB,802192
2019,Import,Argentina,ARG,Belgium,BEL,240524975
2019,Export,Argentina,ARG,Belgium,BEL,405535075
2019,Import,Argentina,ARG,Bhutan,BTN,523
2019,Import,Argentina,ARG,Bolivia (Plurinational State of),BOL,1368970481
2019,Export,Argentina,ARG,Bolivia (Plurinational State of),BOL,617926718
2019,Import,Argentina,ARG,Bosnia Herzegovina,BIH,7759886
2019,Export,Argentina,ARG,Bosnia Herzegovina,BIH,8370970
2019,Import,Argentina,ARG,Botswana,BWA,149
2019,Import,Argentina,ARG,Brazil,BRA,10093942949
2019,Export,Argentina,ARG,Brazil,BRA,10385463386
2019,Import,Argentina,ARG,Belize,BLZ,4381
2019,Export,Argentina,ARG,Belize,BLZ,1873973
2019,Import,Argentina,ARG,Brunei Darussalam,BRN,19513
2019,Export,Argentina,ARG,Brunei Darussalam,BRN,8220717
2019,Import,Argentina,ARG,Bulgaria,BGR,16015413
2019,Export,Argentina,ARG,Bulgaria,BGR,46690341
2019,Import,Argentina,ARG,Myanmar,MMR,4985981
2019,Export,Argentina,ARG,Myanmar,MMR,2262911
2019,Import,Argentina,ARG,Burundi,BDI,262
2019,Import,Argentina,ARG,Belarus,BLR,11048050
2019,Export,Argentina,ARG,Belarus,BLR,20364401
2019,Import,Argentina,ARG,Cambodia,KHM,20568827
2019,Export,Argentina,ARG,Cambodia,KHM,14332390
2019,Import,Argentina,ARG,Cameroon,CMR,20496505
2019,Export,Argentina,ARG,Cameroon,CMR,46893276
2019,Import,Argentina,ARG,Canada,CAN,334606034
2019,Export,Argentina,ARG,Canada,CAN,651122374
2019,Import,Argentina,ARG,Cabo Verde,CPV,7189
2019,Export,Argentina,ARG,Cabo Verde,CPV,5630497
2019,Import,Argentina,ARG,Central African Rep.,CAF,14
2019,Export,Argentina,ARG,Central African Rep.,CAF,835836
2019,Import,Argentina,ARG,Sri Lanka,LKA,10079836
2019,Export,Argentina,ARG,Sri Lanka,LKA,6065237
2019,Import,Argentina,ARG,Chile,CHL,536586030
2019,Export,Argentina,ARG,Chile,CHL,3069240819
2019,Import,Argentina,ARG,China,CHN,9258744375
2019,Export,Argentina,ARG,China,CHN,6817852799
2019,Import,Argentina,ARG,Colombia,COL,220592508
2019,Export,Argentina,ARG,Colombia,COL,896672874
2019,Import,Argentina,ARG,Comoros,COM,22888
2019,Export,Argentina,ARG,Comoros,COM,953538
2019,Import,Argentina,ARG,Congo,COG,31225
2019,Export,Argentina,ARG,Congo,COG,24121126
2019,Import,Argentina,ARG,Dem. Rep. of the Congo,COD,776
2019,Export,Argentina,ARG,Dem. Rep. of the Congo,COD,13736000
2019,Import,Argentina,ARG,Costa Rica,CRI,14006809
2019,Export,Argentina,ARG,Costa Rica,CRI,106722328
2019,Import,Argentina,ARG,Croatia,HRV,25684340
2019,Export,Argentina,ARG,Croatia,HRV,33508354
2019,Import,Argentina,ARG,Cuba,CUB,3821965
2019,Export,Argentina,ARG,Cuba,CUB,280045560
2019,Import,Argentina,ARG,Cyprus,CYP,1221996
2019,Export,Argentina,ARG,Cyprus,CYP,40079049
2019,Import,Argentina,ARG,Czechia,CZE,130700143
2019,Export,Argentina,ARG,Czechia,CZE,40101808
2019,Import,Argentina,ARG,Benin,BEN,342
2019,Export,Argentina,ARG,Benin,BEN,1606202
2019,Import,Argentina,ARG,Denmark,DNK,209414504
2019,Export,Argentina,ARG,Denmark,DNK,194607855
2019,Import,Argentina,ARG,Dominica,DMA,12822
2019,Export,Argentina,ARG,Dominica,DMA,163113
2019,Import,Argentina,ARG,Dominican Rep.,DOM,3183330
2019,Export,Argentina,ARG,Dominican Rep.,DOM,171776013
2019,Import,Argentina,ARG,Ecuador,ECU,241576920
2019,Export,Argentina,ARG,Ecuador,ECU,281656268
2019,Import,Argentina,ARG,El Salvador,SLV,266672
2019,Export,Argentina,ARG,El Salvador,SLV,40163346
2019,Export,Argentina,ARG,Equatorial Guinea,GNQ,2569837
2019,Import,Argentina,ARG,Ethiopia,ETH,104227
2019,Export,Argentina,ARG,Ethiopia,ETH,20109593
2019,Import,Argentina,ARG,Estonia,EST,9019763
2019,Export,Argentina,ARG,Estonia,EST,1960449
2019,Import,Argentina,ARG,Fiji,FJI,6088
2019,Export,Argentina,ARG,Fiji,FJI,179207
2019,Import,Argentina,ARG,Finland,FIN,122968521
2019,Export,Argentina,ARG,Finland,FIN,7323644
2019,Import,Argentina,ARG,France,FRA,885260577
2019,Export,Argentina,ARG,France,FRA,349463814
2019,Import,Argentina,ARG,Djibouti,DJI,15338
2019,Export,Argentina,ARG,Djibouti,DJI,2841098
2019,Import,Argentina,ARG,Gabon,GAB,623071
2019,Export,Argentina,ARG,Gabon,GAB,9448767
2019,Import,Argentina,ARG,Georgia,GEO,636458
2019,Export,Argentina,ARG,Georgia,GEO,17088554
2019,Import,Argentina,ARG,Gambia,GMB,6730
2019,Export,Argentina,ARG,Gambia,GMB,2894296
2019,Import,Argentina,ARG,State of Palestine,PSE,57264
2019,Export,Argentina,ARG,State of Palestine,PSE,1444003
2019,Import,Argentina,ARG,Germany,DEU,2765872621
2019,Export,Argentina,ARG,Germany,DEU,941690786
2019,Import,Argentina,ARG,Ghana,GHA,629632
2019,Export,Argentina,ARG,Ghana,GHA,83516092
2019,Import,Argentina,ARG,Gibraltar,GIB,578
2019,Import,Argentina,ARG,Greece,GRC,6922403
2019,Export,Argentina,ARG,Greece,GRC,152229608
2019,Import,Argentina,ARG,Greenland,GRL,12081
2019,Import,Argentina,ARG,Grenada,GRD,546011
2019,Export,Argentina,ARG,Grenada,GRD,500437
2019,Import,Argentina,ARG,Guatemala,GTM,1019958
2019,Export,Argentina,ARG,Guatemala,GTM,144645716
2019,Import,Argentina,ARG,Guinea,GIN,1971
2019,Export,Argentina,ARG,Guinea,GIN,1343705
2019,Import,Argentina,ARG,Guyana,GUY,1193
2019,Export,Argentina,ARG,Guyana,GUY,4351099
2019,Import,Argentina,ARG,Haiti,HTI,247872
2019,Export,Argentina,ARG,Haiti,HTI,8618335
2019,Import,Argentina,ARG,Honduras,HND,1996917
2019,Export,Argentina,ARG,Honduras,HND,56194318
2019,Import,Argentina,ARG,"China, Hong Kong SAR",HKG,7769178
